study_programme_name,hogeschool,study_programme_type,study_programme_location,study_programme_language,study_programme_length,text
communication and multimedia design,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,
forensisch onderzoek,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,DNA-onderzoek DNA-onderzoek DNA-onderzoek
toegepaste wiskunde,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,
technische natuurkunde,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,
maritiem officier,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,
logistics engineering,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,
hbo-ict,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,ICT-oplossingen
fashion & textile technologies,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,
aviation,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,
engineering,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,
biomedische technologie,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,
built environment,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,
applied artificial intelligence,Hogeschool van Amsterdam,M,Amsterdam,Nederlands,1 jaar,AI-oplossingen AI-oplossingen AI-model AI-oplossing
urban technology,Hogeschool van Amsterdam,M,Amsterdam,Nederlands,1 jaar,
digital design,Hogeschool van Amsterdam,M,Amsterdam,Engels,1 jaar,Design-traject Science-programma
digital driven business,Hogeschool van Amsterdam,M,Amsterdam,Engels,1 jaar,
cybersecurity,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,Monitoring
smart media production,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,Ad-opleiding
software development,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,Ad-opleiding
frontend design & development,Hogeschool van Amsterdam,AD,Amsterdam,Nederlands,2 jaar,
biologie en medisch laboratoriumonderzoek,Avans Hogeschool,B,Breda,Nederlands,4 jaar,BML-opleiding
bouwkunde,Avans Hogeschool,B,"Den Bosch, Tilburg",Nederlands,4 jaar,
bouwtechnische bedrijfskunde,Avans Hogeschool,B,Tilburg,Nederlands,4 jaar,
chemie,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,Proeven
chemische technologie,Avans Hogeschool,B,Breda,Nederlands,4 jaar,Procesautomatisering Watertechnologie
civiele techniek,Avans Hogeschool,B,"Den Bosch, Tilburg",Nederlands,4 jaar,
communication and multimedia design,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,CMD-opleiding
elektrotechniek,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,
informatica,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,ICT-advies IT-opleiding ICT-vakgebied AI-systeem
mechatronica,Avans Hogeschool,B,Breda,Nederlands,4 jaar,
mens en techniek,Avans Hogeschool,B,Breda,Nederlands,4 jaar,Gezondheidstechnologie
ruimtelijke ontwikkeling,Avans Hogeschool,B,Tilburg,Nederlands,4 jaar,
technische bedrijfskunde,Avans Hogeschool,B,"Den Bosch, Tilburg",Nederlands,4 jaar,
technische informatica,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,
werktuigbouwkunde,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,
built environment,Avans Hogeschool,AD,Den Bosch,Nederlands,2 jaar,
engineering,Avans Hogeschool,AD,Den Bosch,Nederlands,2 jaar,
informatica,Avans Hogeschool,AD,Den Bosch,Nederlands,2 jaar,Java-applicatie Buurtactiviteit Java-applicatie Android-applicatie OOP-vorm
mechatronica,Avans Hogeschool,AD,Breda,Nederlands,2 jaar,Validering Productietechnologie
applied data science & artificial intelligence,Breda University of Applied Sciences,B,Breda,Engels,4 jaar,AI-technologieën AI-programmeur Translator
tourism (joint degree),Breda University of Applied Sciences,B,Breda,Engels,4 jaar,
built environment,Breda University of Applied Sciences,B,Breda,Nederlands,4 jaar,
creative media and game technologies,Breda University of Applied Sciences,B,Breda,Engels,4 jaar,
logistics engineering,Breda University of Applied Sciences,B,Breda,"Nederlands, Engels",4 jaar,Bedrijfsbezoeken
game technology,Breda University of Applied Sciences,M,Breda,Engels,1 jaar,
hbo-ict,Christelijke Hogeschool Ede,B,Ede,Nederlands,4 jaar,IT-oplossingen UX-designer ICT-consultant
informatica,Fontys,B,Venlo,"Nederlands, Engels, Duits",4 jaar,ICT'er
technische natuurkunde,Fontys,B,Eindhoven,Nederlands,4 jaar,
applied science,Fontys,B,Eindhoven,Nederlands,4 jaar,DNA-onderzoek
