study_programme_name,hogeschool,study_programme_type,study_programme_location,study_programme_language,study_programme_length,text
communication and multimedia design,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"Communication Multimedia (CMD), dÃ© Creatives, Makers Designers! CMD Amsterdam ideeÃ«n Ã©cht CMD talenten. inclusiviteit. Communication Multimedia (CMD) nadere vooropleidingseisen. CMD kennen: interactieontwerp gebruiken). beÃ¯nvloeden. kunst, reality. kunstwerken, draagbare AI-gestuurde (Waarbij gebruikerservaring verbeteren.) onderwijsprogramma. (ontwerpopdrachten) weken) (keuzeprogrammaâ€™s) (20 weken). HvA, CMD ontwerpvaardigheden HvA talentvolle specialisten. opleidingspagina HvA aansluiten, Driven technologieÃ«n creÃ«ren opleidingspagina Driven Business."
forensisch onderzoek,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"DNA-onderzoek misdrijf. Achterhalen brand. fraude onderzoekstechnieken veiligstellen, strafrechtelijke hypothesen, rapportage Opsporingsmethoden. DNA-onderzoek, typering vergelijking substanties. DNA-onderzoek, typering vergelijking substanties. Nederlands (NFI) verzekeraars fraude tegengaan. casus. teamverband) HvA. Engeland, Forensic Lausanne, Zwitserland (Franstalig)."
toegepaste wiskunde,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"energienetwerk Amsterdam? wachttijden zorg? beleggingsportefeuille kaart? geleerd, uitgebreid. anderen. Calculus, FinanciÃ«le Statistiek, Algebra Operations Research. (keuzeprogramma) Operations Research. Tenslotte Ã©Ã©n HvA-onderzoeksgroepen. (keuzeprogramma) Operations Research. Tenslotte Ã©Ã©n HvA-onderzoeksgroepen. HvA starten, Applied Urban Analytics Amsterdam."
technische natuurkunde,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"technologieÃ«n supercomputers kwantummechanica, efficiÃ«ntere nano-materialen waanzinnige speakers akoestische lenstechnologie. N&T N&G E&M golftheorie elektromagnetisme. waterraket akoestiek deeltjes- versnellerfysica, optica, kwantumfysica stromingsleer. interferometer laser opstelling stralingsdetector. lopen, verdiepingsthema Tenslotte HvA-onderzoeksgroepen. lopen, verdiepingsthema Tenslotte HvA-onderzoeksgroepen. ingangseisen onderwijsinstellingen."
maritiem officier,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"managementfunctie reizen wal? jou, beide. motortechniek, beladen, Kortom, avontuurlijke figuurlijk vwo. container- vaart houdt. vak, nautisch (stuurman) (scheepswerktuigkundige) varen. verricht voorlopige nautisch technisch. werkzaamheden. navigatie. zeeschip. functioneert stuurman scheepswerktuigkundige. (zee)stage. gebied, uitbrengt. TU Delft Marine Shipping Innovations Willem Barentsz."
logistics engineering,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"goederen bezorgen pakketje huis, magazijn evenement. technologieÃ«n Ã©Ã©n games. groep. tentamens; eindproduct, adviesrapport transportroutes magazijnontwerp. klantgerichte (wat klant?), distributielogistiek klant?), productielogistiek het?) inkooplogistiek (wat nodig?). themaâ€™s; â€˜supply chainâ€™. simuleren, vervoer. reÃ«el Driven Business, HvA. technologieÃ«n selectieprocedure. Overige aansluiting Administration richting) Amsterdam (VU). Transport, Infrastructure Delft."
hbo-ict,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"technologieÃ«n blockchain, A.I. reality? beveiligen? ICT-oplossingen efficiÃ«nter HBO-ICT HBO-ICT aangeraden voorbereiden. ICT-specialist. vooraf leerroute: IT ICTâ€™er. inrichten, duoâ€™s ICT-richtingen ICT-richtingen. (product) assessments. gebouwd, psychologie studievoortgang. 240 (MSc) Applied HvA Ã©Ã©n HBO-ICT Amsterdam Applied AI), Delft Parallel Computing, Security,"
fashion & textile technologies,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"ambitieus mode? maatschappelijke, modewereld modevak aanbiedt? Textile Technologies Amsterdam Institute (AMFI) carriÃ¨re modewereld. AMFI. Textile Technologies opleidingsplaatsen (415). selectiedag. eisen: nadere vooropleidingseisen. vÃ³Ã³r vÃ³Ã³r 2010, opleidingsmanager AMFI Branding. modebedrijf. AMFI modebedrijf modewereld. mode-industrie. modewereld mode-industrie. Branding, richting: Branding, AMFI mode-industrie winstdoel (NGO). HvA: HvA talentvolle specialisten. opleidingspagina hogeschool/universiteit: natuurlijk. Institut FranÃ§ais la Mode Parijs; Domus Academy Milaan; University Arts Epsom; London College Londen; Hong Kong Polytechnic University; University Commerce Luigi Bocconi Milaan; Institute Arnhem."
aviation,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"luchthaven? luchtvaart? Aviation luchtvaart. vliegtuigtechniek, luchthaven vlucht. selectieprogramma luchtverkeersleider piloot. vwo-profiel uitzondering havo-en Aviation vliegtuig onderhoudt. luchthaven luchtvaart. luchtvaart lesmateriaal Engels. Engels vliegverkeer introductie. luchtvaart. uitzoeken luchtvaart Aviation Air Aviation (AET) Air (ATM). selectieprogramma trajecten Commercial Pilot (specialisatie piloot) Air Traffic (specialisatie luchtverkeersleider), (keuzeprogramma bedrijfsstage. Aviation Air solliciteren Engelstalige honoursprogramma's: Aviation Aviation Aviation: Aviation wo-masters Luchtvaart- Ruimtevaarttechniek TU Delft; managementgebied luchtvaart Cranfield University Engeland; Driven HvA; Aviation Driven HvA. 1-jarige technologieÃ«n selectieprocedure."
engineering,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"eenvoudiger duurzamer. groeien. coÃ¶rdinerende rol, managementfunctie lead B. transitie industry. ingedeeld baan, carriÃ¨re samenwerkingstraject hbo-engineer. hbo-engineer. hbo-engineer. Driven Business, HvA. technologieÃ«n selectieprocedure. Urban HvA Overige UVA VU Amsterdam. instroomeisen."
