study_programme_name,hogeschool,study_programme_type,study_programme_location,study_programme_language,study_programme_length,text
communication and multimedia design,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"Ontdek Communication and Multimedia Design (CMD), dÃ© opleiding voor Creatives, Makers en Designers! Bij CMD in Amsterdam leer je niet alleen om leuke ideeÃ«n te bedenken, maar vooral om ze Ã©cht te maken. Of je nu graag creatieve problemen oplost of beter wilt worden in ontwerpen, bij CMD ontwikkel je zowel je technische als creatieve talenten. Tijdens de opleiding leer je alles over visuele en interactieve vormgeving en technisch design, met veel aandacht voor duurzaamheid en inclusiviteit."
forensisch onderzoek,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"DNA-onderzoek na een misdrijf. Achterhalen wat de oorzaak is van een brand. Of digitaal bewijs van een fraude opsporen. Je leert het tijdens de opleiding Forensisch Onderzoek. Als forensisch onderzoeker ga je aan de slag met onderzoekstechnieken zodat je sporen kunt veiligstellen, analyseren en toepassen voor bijvoorbeeld een strafrechtelijke proces."
toegepaste wiskunde,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,Hoe leg je het perfecte energienetwerk aan voor elektrische autoâ€™s in Amsterdam? Hoe verkort je de wachttijden in de zorg? Hoe breng je de risicoâ€™s van een beleggingsportefeuille in kaart? Bij de opleiding Toegepaste Wiskunde leer je hoe wiskundige methoden en technieken bijdragen aan het oplossen van maatschappelijke vraagstukken.
technische natuurkunde,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"Natuurkunde vormt de basis voor producten en technologieÃ«n van de toekomst. Denk aan een nieuwe generatie supercomputers dankzij kwantummechanica, efficiÃ«ntere zonnepanelen dankzij nano-materialen of waanzinnige speakers dankzij akoestische lenstechnologie. Bij de opleiding Technische Natuurkunde leer je hoe je natuurkundige principes gebruikt voor het ontwikkelen van technische toepassingen."
maritiem officier,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"Een managementfunctie aan boord en reizen over de hele wereld? Of een mooie baan aan wal? De keuze is aan jou, want de opleiding Maritiem Officier bereidt je voor op beide. Zo leer je over motortechniek, navigatie, beladen, veiligheid en duurzaamheid. Kortom, een interessante en avontuurlijke opleiding die je wereld letterlijk en figuurlijk groter maakt."
logistics engineering,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"Logistiek is zorgen dat goederen en informatie op het juiste moment op de juiste plek terecht komen. Of het nu gaat om het bezorgen van een pakketje aan huis, het inrichten van een magazijn of het organiseren van een groot evenement. Tijdens de opleiding Logistics Engineering leer je hoe je deze logistieke processen met nieuwe technologieÃ«n kunt ontwerpen en verbeteren."
hbo-ict,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"Heb je interesse voor apps, game development of opkomende technologieÃ«n zoals blockchain, big data, A.I. en virtual reality? Wil je nadenken over de inzet van robots in de zorg, of hoe bedrijven hun data beter kunnen beveiligen? Of wil jij ICT-oplossingen ontwikkelen die bedrijven efficiÃ«nter laten werken? Dan is de opleiding HBO-ICT iets voor jou."
fashion & textile technologies,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"Ben je creatief, ambitieus en nieuwsgierig, met een grote interesse in mode? Wil je de maatschappelijke, zakelijke en creatieve uitdagingen in de modewereld aanpakken in een leeromgeving die verschillende richtingen binnen het modevak aanbiedt? Dan is de 4-jarige bacheloropleiding Fashion & Textile Technologies bij het Amsterdam Fashion Institute (AMFI) iets voor jou. Deze opleiding biedt je een sterke basis voor een carriÃ¨re in de internationale modewereld."
aviation,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"Gaat jouw hart sneller kloppen op een luchthaven? Draag jij graag een steentje bij aan het verduurzamen van de luchtvaart? Wil jij later werken in een internationale dynamische omgeving? Dan is Aviation een goede keuze voor jou. De opleiding bereidt je voor op een baan in de luchtvaart. Of het nu gaat om vliegtuigtechniek, de logistiek op een luchthaven of het uitvoeren van de vlucht. Ook kun je deelnemen aan het selectieprogramma voor een traject tot luchtverkeersleider of piloot."
engineering,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"Je maakt de wereld een beetje slimmer, eenvoudiger en duurzamer. Met kennis machines, producten, productieprocessen en slimme gebouwen of infrastructuur. Dat doe je met een baan in de techniek. Maar je wilt verder groeien. Bijvoorbeeld naar een coÃ¶rdinerende rol, een managementfunctie of een functie als lead Engineer. Met de deeltijdopleiding Engineering beschik jij straks over de juiste kennis en vaardigheden."
biomedische technologie,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,Mensen worden steeds ouder en daarmee wordt de zorg complexer en duurder. Als biomedisch technoloog begrijp je als geen ander wat de 'gezonde gezondheidszorg' nodig heeft: verantwoorde technologische producten waarmee mensen langer gezond blijven Ã©n waarmee je ze beter kunt behandelen.
built environment,Hogeschool van Amsterdam,B,Amsterdam,Nederlands,4 jaar,"Duurzaam, efficiÃ«nt en klimaatbestendig inrichten en bouwen. Door een combinatie van techniek en creativiteit. Op die manier gaan we in de toekomst gebouwen, wijken en infrastructuur slimmer ontwikkelen en gebruiken. Met innovatieve ontwerptechnieken en duurzame materialen bijvoorbeeld. Je leert het bij Built Environment; een brede bachelor die de opleidingen Civiele Techniek, Bouwkunde en Bouwtechnische Bedrijfskunde samenbrengt."
applied artificial intelligence,Hogeschool van Amsterdam,M,Amsterdam,Nederlands,1 jaar,"Wil jij bedrijven en instellingen die werken met Artificial Intelligence helpen aan praktische en verantwoorde AI-oplossingen? Wil jij een gamechanger worden die inzet op mensgerichte artificiÃ«le intelligentie en die niet alleen nadenkt over technologie, maar ook reflecteert op de impact vanuit een ethisch, moreel en sociaal oogpunt. Misschien is de master Applied Artificial Intelligence iets voor jou. Bekijk de toelatingseisen en kom kennismaken."
urban technology,Hogeschool van Amsterdam,M,Amsterdam,Nederlands,1 jaar,"Hoe creÃ«ren we de stad van de toekomst? Duurzaam, leefbaar en bereikbaar. Maar hoe gaan we om met schaarste aan ruimte, grondstoffen, energie en schone lucht? Voor het oplossen van deze vraagstukken leidt de nieuwe masteropleiding Urban Technology ingenieurs op. In een 1-jarig voltijds studieprogramma werk je interdisciplinair en systematisch aan technische oplossingen voor deze uitdagingen."
